id,Negation,Infinitiv mit zu,Modalverben,Konjunktiv II,Passiv,Futur I,Partizip 2,Perfekt, Präteritum, Präsens
durch das Feuer gehen,2.48,4.23,6.730000000000001,9.2,0,2.04,3.07,7.15,12.7,66.86
eine (gute) Figur machen,5.6,5.09,4.59,2.12,0.01,0.8,1.83,6.45,39.14,50.8
sich Finger verbrennen,14.950000000000001,9.03,23.730000000000004,2.31,0.1,3.46,7.35,21.72,8.55,35.13
ins (eigene) Fleisch schneiden,5.97,3.66,5.429999999999999,15.5,0.31,1.88,2.41,4.08,10.58,62.41
in die Flucht schlagen,1.46,10.59,8.940000000000001,1.6300000000000001,9.59,0.21,10.57,17.35,25.34,30.17
Gas geben,2.55,4.3,20.05,0.62,1.75,4.5,3.1,7.35,17.45,50.06
gegen den Strich gehen,2.43,0.91,3.09,2.78,0,0.25,1.12,1.57,24.18,74.71
die Gegend unsicher machen,0.35,1.75,3.15,0,1.05,1.05,4.21,5.96,39.65,51.23
den Geist aufgeben,2.85,2.53,2.5999999999999996,1.63,0.09,0.84,2.88,25.98,21.85,30.4
an der Geschmacksverirrung leiden,20.0,16.0,8.0,4.0,0,0,0,8.0,8.0,72.0
ins Gewissen reden,1.71,14.07,9.060000000000002,0.6100000000000001,1.52,1.52,4.52,11.71,30.89,45.93
eine goldene Nase verdienen,4.98,4.35,20.070000000000007,2.8,0.14,2.18,0,12.280000000000001,9.82,67.72
grünes Licht geben,0.57,1.16,6.369999999999998,1.05,1.8,1.02,4.83,27.17,34.77,26.47
kein Haar krümmen,40.4,10.42,9.52,6.76,47.53,0.73,7.68,12.98,1.46,19.93
sich die Haare raufen,2.8,2.53,9.629999999999999,3.43,0.45,2.12,1.45,3.43,25.52,55.87
Hände binden,2.28,0.97,0.8500000000000001,16.35,1.57,0.12,9.68,64.67,5.92,6.59
den Hals brechen,7.71,10.43,9.75,4.53,0.68,3.17,12.47,11.110000000000001,27.44,61.0
das Handtuch werfen,4.84,4.44,7.16,2.81,0.36,1.39,4.93,23.75,28.5,33.75
hausieren gehen,14.5,7.04,12.47,2.54,0.58,0.9,1.38,5.7700000000000005,17.63,63.84
Hebel in Bewegung setzen,1.18,6.47,10.71,1.77,6.27,5.92,4.24,20.08,21.14,32.51
kein Hehl machen,87.22,0.49,1.24,0.15000000000000002,0.42,0.09,1.94,12.85,31.56,55.99
das Herz ausschütten,2.24,10.13,20.53,1.71,0.18,0.72,3.5,8.34,11.3,37.85
das Herz brechen,3.3,2.19,5.319999999999999,5.35,2.51,1.49,5.17,18.66,15.87,57.56
sein Herz fassen,1.23,1.87,2.82,0.5,0.04,0.21,2.4,8.36,60.04,29.39
jmds. Herz treffen,1.63,2.35,4.04,1.0,3.39,0.27,6.11,9.54,33.65,50.25
sein Herz verlieren,3.9099999999999997,3.73,2.8099999999999996,1.19,0.5,0.36,30.17,35.480000000000004,78.37,28.53
in den Hintern kriechen,4.41,19.12,8.82,2.94,0,0,8.82,13.24,7.35,58.82
aus (zwei) Hochzeiten tanzen,11.27,7.81,20.189999999999998,0.59,0.59,1.03,1.47,3.02,8.03,67.5
vom Hocker reißen,30.41,0,0,1.2200000000000002,0.41,0,1.63,10.48,22.28,66.91
Hölle heiß machen,2.58,8.95,9.149999999999999,4.77,1.99,5.17,4.57,6.96,12.52,59.44
in die Hose gehen,3.92,0.65,12.47,4.55,0.05,0.65,2.62,17.9,38.04,28.12
auf den Hund bringen,2.44,6.1,2.44,1.22,6.1,1.22,29.27,29.27,15.85,31.71
auf hundert bringen,1.96,17.65,11.760000000000002,0,5.88,0,1.96,11.76,13.73,76.47
seinen Hut nehmen,2.27,4.12,38.18,1.47,0.16,2.39,2.43,5.52,17.59,39.33
im Schilde führen,3.03,2.92,4.59,0.6,0.49,0.27,0.76,2.38,17.59,75.22
in Hände geben,4.61,22.18,15.08,2.21,7.89,1.12,6.77,7.869999999999999,19.1,58.77
in Kauf nehmen,1.93,5.6,24.07,3.4699999999999998,6.98,0.94,4.52,8.82,10.16,44.42
auf die (falsche) Karte setzen,2.38,4.76,0,0,0,0,21.43,30.95,19.05,30.95
jmdm. Schau stehlen,7.22,7.02,8.74,1.58,1.89,1.38,5.33,12.66,30.65,44.27
jmdm. Show stehlen,6.93,6.19,6.590000000000001,2.01,1.52,1.26,5.22,14.35,36.05,38.71
das Weite suchen,2.5,5.31,5.000000000000001,2.0700000000000003,0.12,0.43,5.81,14.57,42.57,31.99
mit den Wölfen heulen,12.66,12.86,15.14,0.62,1.66,1.04,4.15,3.94,6.43,68.46
alte Wunden aufreißen,8.24,12.36,0.16,1.48,11.04,0,6.1,10.38,3.79,28.83
sein blaues Wunder erleben,3.45,1.89,17.330000000000002,2.84,0.07,20.57,0,3.86,20.37,41.07
einen Zahn zulegen,1.1300000000000001,6.38,24.059999999999995,0.24,2.1,3.23,2.75,5.98,32.96,19.71
